,,,Xxchdamxx,ObstacleTitan99,dragonixr,NelikkTtv,JackyTunnaing,NeliKkTv,Bloodyraiis
stats,minecraft:broken,justhammers:iron_hammer,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:broken,minecraft:golden_axe,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stats,minecraft:broken,minecraft:iron_pickaxe,0.0,0.0,1.0,0.0,1.0,0.0,2.0
stats,minecraft:broken,minecraft:iron_shovel,0.0,0.0,0.0,0.0,0.0,0.0,2.0
stats,minecraft:broken,minecraft:stone_axe,0.0,0.0,0.0,0.0,1.0,0.0,0.0
stats,minecraft:broken,minecraft:wooden_pickaxe,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:crafted,academy:ha_fossil,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,academy:lunar_forecast_hologram,0.0,0.0,0.0,0.0,0.0,1.0,0.0
stats,minecraft:crafted,academy:max_iv_fossil,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,academy:shiny_fossil,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,cloudboots:netherite_cloud_boots,2.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,cobblemon:fossil_analyzer,4.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:crafted,cobblemon:great_ball,0.0,0.0,30.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,cobblemon:healing_machine,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:crafted,cobblemon:lure_ball,0.0,0.0,0.0,0.0,0.0,6.0,0.0
stats,minecraft:crafted,cobblemon:max_revive,3.0,0.0,0.0,0.0,0.0,0.0,3.0
stats,minecraft:crafted,cobblemon:monitor,2.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:crafted,cobblemon:pc,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:crafted,cobblemon:peat_block,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:crafted,cobblemon:poke_ball,0.0,0.0,0.0,0.0,0.0,0.0,36.0
stats,minecraft:crafted,cobblemon:relic_coin,576.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,cobblemon:restoration_tank,3.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:crafted,cobblemon:revive,0.0,0.0,0.0,0.0,0.0,0.0,2.0
stats,minecraft:crafted,cobblemonalphas:alpha_spawner,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,cobblenav:pokefinder_item_red,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,cobblenav:pokenav_item_base,1.0,0.0,1.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,fireworkcapsules:ball_capsule,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,glassential:glass_door,0.0,0.0,0.0,0.0,0.0,0.0,3.0
stats,minecraft:crafted,gliding:netherite_glider,2.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,justhammers:diamond_hammer,1.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:crafted,justhammers:iron_hammer,0.0,0.0,0.0,0.0,0.0,0.0,8.0
stats,minecraft:crafted,knowlogy:knowlogy_book,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,mega_showdown:keystone,0.0,0.0,0.0,0.0,0.0,1.0,0.0
stats,minecraft:crafted,mermod:sea_necklace,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:air,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:armor_stand,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:beacon,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:birch_fence,576.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:birch_planks,2532.0,0.0,0.0,0.0,0.0,0.0,90.0
stats,minecraft:crafted,minecraft:bone_meal,0.0,0.0,0.0,0.0,0.0,0.0,51.0
stats,minecraft:crafted,minecraft:bookshelf,32.0,0.0,0.0,0.0,0.0,0.0,30.0
stats,minecraft:crafted,minecraft:bucket,1.0,0.0,0.0,0.0,0.0,0.0,4.0
stats,minecraft:crafted,minecraft:bundle,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:crafted,minecraft:chest,26.0,0.0,0.0,0.0,0.0,0.0,22.0
stats,minecraft:crafted,minecraft:chiseled_stone_bricks,0.0,0.0,0.0,0.0,2.0,0.0,0.0
stats,minecraft:crafted,minecraft:clay,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:coal,18.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:coal_block,52.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:comparator,3.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:composter,1.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:crafted,minecraft:cooked_beef,0.0,0.0,0.0,0.0,0.0,0.0,36.0
stats,minecraft:crafted,minecraft:copper_ingot,0.0,0.0,0.0,0.0,140.0,0.0,105.0
stats,minecraft:crafted,minecraft:crafting_table,9.0,0.0,2.0,0.0,2.0,0.0,1.0
stats,minecraft:crafted,minecraft:deepslate_tile_slab,0.0,0.0,0.0,0.0,4.0,0.0,0.0
stats,minecraft:crafted,minecraft:deepslate_tile_stairs,0.0,0.0,0.0,0.0,45.0,0.0,0.0
stats,minecraft:crafted,minecraft:deepslate_tile_wall,0.0,0.0,0.0,0.0,5.0,0.0,0.0
stats,minecraft:crafted,minecraft:deepslate_tiles,0.0,0.0,0.0,0.0,0.0,0.0,5.0
stats,minecraft:crafted,minecraft:diamond,45.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:diamond_axe,1.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:crafted,minecraft:diamond_pickaxe,3.0,0.0,0.0,0.0,1.0,0.0,0.0
stats,minecraft:crafted,minecraft:diamond_shovel,1.0,0.0,0.0,0.0,1.0,0.0,0.0
stats,minecraft:crafted,minecraft:emerald,64.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:enchanted_book,18.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:fishing_rod,0.0,0.0,0.0,0.0,0.0,0.0,3.0
stats,minecraft:crafted,minecraft:fletching_table,12.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:furnace,3.0,0.0,0.0,0.0,1.0,0.0,2.0
stats,minecraft:crafted,minecraft:glass,7.0,0.0,0.0,0.0,0.0,0.0,44.0
stats,minecraft:crafted,minecraft:glass_pane,0.0,0.0,0.0,0.0,0.0,0.0,32.0
stats,minecraft:crafted,minecraft:gold_ingot,191.0,0.0,0.0,0.0,17.0,0.0,38.0
stats,minecraft:crafted,minecraft:hopper,15.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:iron_axe,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:crafted,minecraft:iron_ingot,192.0,0.0,0.0,0.0,37.0,0.0,54.0
stats,minecraft:crafted,minecraft:iron_pickaxe,1.0,0.0,2.0,0.0,1.0,0.0,3.0
stats,minecraft:crafted,minecraft:iron_shovel,0.0,0.0,0.0,0.0,0.0,0.0,3.0
stats,minecraft:crafted,minecraft:jungle_planks,24.0,0.0,456.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:oak_boat,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stats,minecraft:crafted,minecraft:oak_door,0.0,0.0,0.0,0.0,0.0,0.0,3.0
stats,minecraft:crafted,minecraft:oak_fence,0.0,0.0,0.0,0.0,12.0,0.0,0.0
stats,minecraft:crafted,minecraft:oak_planks,272.0,0.0,56.0,0.0,96.0,0.0,284.0
stats,minecraft:crafted,minecraft:oak_slab,0.0,0.0,0.0,0.0,102.0,0.0,6.0
stats,minecraft:crafted,minecraft:polished_deepslate,0.0,0.0,0.0,0.0,0.0,0.0,9.0
stats,minecraft:crafted,minecraft:rabbit_foot,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:raw_gold,63.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:raw_iron,216.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:redstone,0.0,0.0,0.0,0.0,0.0,0.0,18.0
stats,minecraft:crafted,minecraft:redstone_torch,41.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:saddle,0.0,0.0,3.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:smooth_stone,1.0,0.0,0.0,0.0,0.0,0.0,33.0
stats,minecraft:crafted,minecraft:smooth_stone_slab,6.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:spruce_planks,0.0,0.0,0.0,0.0,0.0,0.0,86.0
stats,minecraft:crafted,minecraft:stick,3024.0,0.0,12.0,0.0,20.0,0.0,72.0
stats,minecraft:crafted,minecraft:stone,13.0,0.0,0.0,0.0,524.0,0.0,207.0
stats,minecraft:crafted,minecraft:stone_axe,0.0,0.0,0.0,0.0,1.0,0.0,0.0
stats,minecraft:crafted,minecraft:stone_brick_stairs,0.0,0.0,0.0,0.0,33.0,0.0,0.0
stats,minecraft:crafted,minecraft:stone_brick_wall,0.0,0.0,0.0,0.0,15.0,0.0,0.0
stats,minecraft:crafted,minecraft:stone_bricks,0.0,0.0,0.0,0.0,22.0,0.0,0.0
stats,minecraft:crafted,minecraft:stone_pickaxe,1.0,0.0,0.0,0.0,1.0,0.0,2.0
stats,minecraft:crafted,minecraft:torch,76.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:warped_fungus_on_a_stick,0.0,0.0,0.0,0.0,0.0,0.0,2.0
stats,minecraft:crafted,minecraft:wheat,9.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:wind_charge,256.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,minecraft:wooden_axe,0.0,0.0,1.0,0.0,0.0,0.0,1.0
stats,minecraft:crafted,minecraft:wooden_pickaxe,1.0,0.0,1.0,0.0,1.0,0.0,1.0
stats,minecraft:crafted,naturescompass:naturescompass,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,regions_unexplored:blackwood_planks,256.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,regions_unexplored:magnolia_planks,4.0,0.0,0.0,0.0,0.0,0.0,112.0
stats,minecraft:crafted,regions_unexplored:maple_planks,32.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,regions_unexplored:mauve_planks,0.0,0.0,0.0,0.0,8.0,0.0,0.0
stats,minecraft:crafted,regions_unexplored:pine_planks,56.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,regions_unexplored:willow_planks,8.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,simpletms:tm_blank,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,minecraft:crafted,sophisticatedbackpacks:backpack,1.0,0.0,0.0,0.0,0.0,0.0,0.0
